id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
110490,8737,Adventure Island 3,"Master Higgins' girlfriend Tina (erroneously called ""Jeannie Jungle"" in English materials) is kidnapped once again, this time by a mysterious flying saucer. With the help of his prehistoric pals, Higgins must once again travel through eight different islands and go after the aliens keeping Tina hostage.",1992-07-30 00:00:00.000,7,NULL,NULL,NULL,62.0347,20
91505,5350,Aerobiz,NULL,1992-04-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
132647,11890,Agony,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
53234,7747,Aguri Suzuki F-1 Super Driving,NULL,1992-07-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
146873,14230,Air Bucks,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
98211,45671,Air Rescue,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
86301,14157,Air Support,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107653,42129,Air Zonk,NULL,1992-11-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
147253,46395,Aisle Lord,NULL,1992-06-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
45362,11892,Alcatraz,"Alcatraz has already sheltered the biggest mafia gangsters, but not one as ruthless as the boss of the drug cartesl, Miguel Tardiez, who took refugee with his men in the former prison. Your missions consists of capturing the dealers, burning all the stocks and destroying the secret laboratories... There, where all the others have failed, you must be successful. In case of problems, do not count on anybody to help you.",1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
146582,175929,Alice in Wonderland,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
174085,195029,Alien,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
165798,8908,Alien 3,"Loosely based off of the movie franchise, the main character Ripley arrives at Fiorina ""Fury"" 161, and she finds the planet is infested by Xenomorph Runnera. She is equipped with Colonial Marine equipment to defend herself while rescuing prisoners that are captured by the Aliens.",1992-12-31 00:00:00.000,11,NULL,NULL,NULL,73.3839,31
15323,14596,Alien Breed: Special Edition 92,"2191 .. and the galaxy stands unwittingly on the brink of war. 
 
The colonisation, it happened so fast, first the breakthroughs, initial tentative steps and finally the stampede. People rushing from the smog ridden, claustrophobic earth bases to the freedom and promise of the enterprising stellar colonies. 
 
But the dawn of widespread and economical space travel brought with it new legacies, new crimes and a new era of greed. As tension inevitably spiralled, the Interplanetary Corps were born as a peace-keeping force. 
 
Johnson and Stone were crack members of an elite IPC patrol unit, returning back to Federation HQ after a six month spell in the outer spiral arm, nothing had troubled them, but nothing usually did in such a remote section of the galaxy, they were relieved to be going home. 
 
Then came the orders to check out a distant space station in the Intex network. ISRC-4 had ceased transmitting on all Federation wavelengths. It could be a magnetic storm or another fickle revolt against authority. Whatever it was, they were ordered in. 
 
Stone logged the stations co-ordinates into Miraculous's navcomp and initiated the engines for the small ion-drive. The craft's engines shuddered as it picked up the pace and within a couple of hours they were in orbit around the gas-giant Gianor, where the station was located. 
 
Johnson and Stone shrugged their shoulders, everything looked fine, sure things seemed a little quiet, but there was evidence of magnetic activity. Miraculous fired her retros and began her approach into one of the stations three landing bays. They were going in.",1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
49486,7750,Alien Olympics 2044 AD,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,23.0000,0
83112,11893,Alien World,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
162188,19508,Alisia Dragoon,NULL,1992-03-01 00:00:00.000,2,NULL,NULL,NULL,81.3815,15
174972,1956,Alone in the Dark,NULL,1992-12-31 00:00:00.000,18,NULL,60.0000,1,72.6103,47
111337,66549,Alphabet Blocks,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22693,112634,Amarillo Slim's 7 Card Stud,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
109258,2424,Amberstar,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
121857,45442,America Oudan Ultra Quiz,NULL,1992-11-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
84998,11899,American Tag-Team Wrestling,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
170578,4525,Andre Agassi Tennis,"The player can play in either career mode, exhibition mode, or practice mode where the player can learn to hit and receive tennis balls in a proper manner in order to assure victory on the tennis court.

During the career mode, the player travels to tennis courts around the world and compete in tournaments where victory allows to play to win money. After mastering all the tournaments, the player actually plays against Mr. Andre Agassi in a final grudge match in order to determine who is the best tennis player in the world. All the other players are generic except for him.",1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
85291,39622,Andro Dunos,NULL,1992-01-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26615,222743,Angst: A Game of Urban Survival,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
66476,2426,AntKill,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
60488,14166,Apache Flight,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129060,11906,Apidya,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
116643,46629,Aquanoid,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
43071,46655,Aquaphobia,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29611,14263,Aquaventura,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107442,13684,Arabian Magic,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22862,11908,Arcade Fruit Machine,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125673,3652,Arcana,NULL,1992-03-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26407,11910,Archer MacLean's Pool,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
102488,14599,Arena,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
99593,14265,Arena 2000,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
146802,71777,Aretha III,"Materia, who blocked Howard's ambitions twice, lived a peaceful life again. Doole, who returned to the Kingdom of Aretha after her training journey, was surprised to find that Aretha's ring had been lost, but Materia did not seem to care at all. Ben Marxist, an old friend of mine, appeared in front of them and offered a story. He said, ""Are you willing to go to the Kingdom of Aretha 20 years ago?"" Materia, who thinks of her parents who were born and never seen, travels with Doole to the past kingdom of Aretha.",1992-10-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
113638,14268,Arnie,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
114086,13797,Arnie,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
54231,4514,Art of Fighting,NULL,1992-01-11 00:00:00.000,2,NULL,NULL,NULL,59.9502,25
26639,11919,Ashes of Empire,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83338,48616,Asmik-kun Land,NULL,1992-01-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81419,11920,Assassin,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
95864,218909,Astérix,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
53552,128475,Asterix (Arcade),NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
144145,89564,Asteroids,"Play the role of a spaceship pilot trapped in a gigantic asteroid cloud and pulverize incoming asteroids with the ship's photon cannon. When all asteroids are destroyed, the player can then move on to the next round. In addition to the asteroids, the player will also face an Alien Robot Saucer which shoots randomly across the screen.",1992-03-31 00:00:00.000,NULL,NULL,NULL,NULL,58.0000,1
2828,42089,AV Poker: World Gambler,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81427,11926,AV8B Harrier Assault,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19012,39747,Avenging Spirit,NULL,1992-11-06 00:00:00.000,NULL,NULL,NULL,NULL,74.0000,2
143746,6570,Axelay,NULL,1992-09-01 00:00:00.000,2,NULL,81.0000,1,75.4630,27
184308,27077,Ayrton Senna's Super Monaco GP II,NULL,1992-07-17 00:00:00.000,1,NULL,NULL,NULL,59.6744,7
113906,39903,B. Rap Boys,NULL,1992-06-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
77265,2315,B.A.T. II: The Koshan Conspiracy,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83366,11928,B17 Flying Fortress,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
175554,198377,Babel,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
51351,40269,Bakuretsu Breaker,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
85053,48726,Bakushou!! Jinsei Gekijou 3,NULL,1992-01-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12043,38601,Balloon Brothers,NULL,1992-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
173641,195030,Balloon Fight,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
146953,44448,Barbarossa,NULL,1992-11-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
85220,45174,Barbie: Game Girl,NULL,1992-11-01 00:00:00.000,1,NULL,NULL,NULL,80.0000,4
52037,2318,Bargon Attack,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107935,14287,Baron Baldric: A Grave Adventure,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
50252,40835,Baseball Heroes,NULL,1992-03-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20103,9942,Baseball Stars 2,"The Baseball Stars series set the early benchmark for quality baseball sports games, and introduced a number of features that have become standard in more current sports games, such as managerial control and player creation. Baseball Stars 2 built on this by introducing new batting stances, enhanced pitch control, the ability to alter field formations for enhanced coaching strategies, and a number of other features. Players can create leagues of up to 125 games, with 6 teams. Statistics are tracked over the length of the season, and players can be upgraded over time.",1992-01-15 00:00:00.000,NULL,NULL,71.0000,2,NULL,NULL
77332,48296,Baseball Stars II,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
124126,145246,Bass Class,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
124923,142320,BassTour,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
150586,121245,Batman Returns,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
154067,121246,Batman Returns,Gotham City is in desperate trouble again. Catwoman and The Penguin have joined forces to terrorize the entire metropolis! Only you can help Batman foil their deadly scheme and save the city from their fiendish clutches.,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
105447,4379,Batman Returns,"The game allows the player to experience seven scenes that were featured in the film of the same name. Batman must fight his way through the Red Triangle Circus Gang, using the various weapons and fighting moves he has available. Each level has a unique boss which must be defeated in order for the player to progress to the next level.",1992-12-31 00:00:00.000,8,NULL,NULL,NULL,73.5532,38
86330,200153,Batman Returns,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
164680,45204,Batman: Revenge of the Joker,NULL,1992-04-06 00:00:00.000,NULL,NULL,NULL,NULL,59.5537,5
165825,42629,Battle Blaze,"A land known as Virg was under the command of a powerful king. Every king was selected at the ""Tournament of Champions"". A demon from Hell, was hell-bent on world domination, so he sent five phantoms to possess every combatant in the tournament. The demon turned the contenders into enemies where they would have them battle one on one (kind of like Battle Royale). The phantoms possessed every contender except for one. As one phantom ambushed Durill, the strongest of the competitors, an unknown disease struck him. Durill ended up defeating the phantom, but collapsed due to mind poisoning. After he died, his son Kerrel vowed to avenge his father, and defeat the evil demon.",1992-05-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
156633,11099,Battle Chess 4000,NULL,1992-12-31 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
127454,42628,Battle Grand Prix,NULL,1992-03-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
188250,42567,Battle Soccer: Field no Hasha,NULL,1992-12-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
86035,48583,Battle Storm,NULL,1992-01-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
36995,19704,Battles of Destiny,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
112713,46437,Battleship: The Classic Naval Warfare Game,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
150171,42627,Bazooka Blitzkrieg,"The Sylon Corporation was busy at work on an army of robot soldiers that would save thousands of lives in the event of a war. The XT7 Cyborg-Commando Fighting Machines were thought to be the ultimate battle warriors.

But something goes terribly wrong with Sylons mainframe. The robots are unleashed on an innocent and unsuspecting public, destroying everything in their path leaving only a trail of death and destruction. You are humanitys only hope as the best sharpshooter the world has ever seen. Armed with your Super NES Super Scope, its your duty to single-handedly battle the Cyborgs and demolish the malfunctioning mainframe computer responsible for this disaster.",1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
138656,48106,Bee 52,"The player controls Bee 52, a honeybee with large eyes and a fly-like sucker for a mouth, through which it can spit projectiles at enemies. The game is played through 12 levels, the first four in a backyard, the next four in a swamp, and the last four inside a house. There are traps and enemies added for each level, from ants, grasshoppers, and even dragonflies and ""venus flytraps"" in the later levels. The player must find and collect from many flowers scattered all over the sidescrolling level and return to the hive after three flowers are visited to add honey to the jar. The level is complete when the jar is full, in the case of levels 3-12, this requires every flower to be visited.",1992-08-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
66986,16140,Benkei Gaiden: Suna no Shou,NULL,1992-12-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
185647,7783,Best of the Best: Championship Karate,NULL,1992-12-31 00:00:00.000,1,NULL,NULL,NULL,51.1066,8
77671,48545,Best Play Pro Yakyuu Special,NULL,1992-11-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21900,45943,Big Bang Show,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
67110,40233,Big Fight: Big Trouble in the Atlantic Ocean,NULL,1992-03-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
64084,48105,Big Nose Freaks Out,"On a Tuesday afternoon sometime in 17 million BC, Big Nose the caveman was on his way to the Savings and Bones to deposit a large amount of savings. But before he got there, Leroy the Lizardman knocked out Big Nose and stole his savings. When Big Nose woke up and realized his savings were gone, he freaked out! Now he created a wheel with a platform on it and is out to get Leroy. Big Nose Freaks Out is a side scrolling platform action game. There are five sections of gameplay each with four levels to clear. At the end of each section Leroy will be waiting with a large monster. To fight back Big Nose has his trusty club with him. Also, rocks can be found along the way and the club used to bat them at enemies. There are many hidden treasures, hidden levels, and even some level warps to search for.",1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
138349,108112,Big Nose's American Adventure,"Whipped up by a time warp and plonked down in the present day.
Join Big Nose the caveman in his plight to rescue his animal friends.
Beat off the builders, bash the zoo keepers and save the day.",1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
98168,39817,Big Striker,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
86184,48544,Bikkuriman World: Gekitou Sei Senshi,NULL,1992-08-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25151,14306,Bill's Tomato Game,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
43592,4517,Bio-Hazard Battle,"During G-Biowar I (the first global biowar), a powerful new form of retrovirus was released as a deadly reprisal from the enemy. The viruses unleashed biological forces which couldn't be stopped, leaving the planet filled with new and deadly forms of life.

Only a few survivors remain in suspended animation in O.P. Odysseus, an orbiting platform circling Avalon. The space station's purpose is to keep the surviving humans alive until Avalon is habitable again. The crew of the Odysseus have been frozen in cryogenic tanks for hundreds of years, and now the onboard computer has awakened them.

Computer probes show that conditions on Avalon are hostile but livable. The question is; where can the crew of Odysseus set up a colony? The gameplay involves piloting an organic ship to Avalon, flying over areas which the probes have designated least hostile, ascertaining planetary conditions and, ultimately finding a new home for the remaining survivors.",1992-10-30 00:00:00.000,1,NULL,NULL,NULL,70.0605,7
41142,48964,Bionic Battler,NULL,1992-12-01 00:00:00.000,NULL,NULL,NULL,NULL,43.0000,0
162835,7786,Bionic Commando,NULL,1992-07-24 00:00:00.000,1,NULL,57.5000,0,70.1116,6
142385,7787,Black Bass: Lure Fishing,NULL,1992-08-28 00:00:00.000,NULL,NULL,NULL,NULL,40.0000,1
14214,8692,Black Crypt,NULL,1992-03-02 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
29982,46405,Black Hole Assault,NULL,1992-10-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
181859,204476,Blackjack,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
61326,39876,Blandia,NULL,1992-04-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
186661,42625,BlaZeon: The Bio-Cyborg Challenge,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
88588,42535,Blazing Skies,NULL,1992-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78614,69795,Blind Wars,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
174084,77792,Block Buster,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
60466,38588,Block Carnival Thunder & Lightning 2,NULL,1992-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14952,14325,Blowout & Cosmic Alphabet,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
58669,2435,Bob's Dragon Hunt,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14872,47236,Bod Squad,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
49121,92264,Boggle Plus,NULL,1992-03-31 00:00:00.000,NULL,NULL,NULL,NULL,57.0000,0
178986,42097,Bomberman '93,NULL,1992-12-11 00:00:00.000,1,NULL,NULL,NULL,70.5999,6
106775,98703,Bonk's Adventure,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,72.0000,3
62581,39873,Boogie Wings,NULL,1992-04-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
180531,14333,Boppin',"Boppin' takes place in a pocket universe created by an arcade machine. The villains from other games have been captured by a hero named Hunnybunz, putting all of the heroes out of work. Your job is to free the villains and defeat the good Hunnybunz.",1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
61847,14334,Borobodur: The Planet of Doom,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96566,37720,Bouken Danshaku Don: The Lost Sunheart,NULL,1992-01-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
108434,70868,Brain Power,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
87835,39880,BRap Boy,NULL,1992-04-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13957,14344,Bravo Romeo Delta,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
192454,42639,Brawl Brothers,NULL,1992-12-02 00:00:00.000,NULL,NULL,NULL,NULL,44.0000,3
186276,48103,Break Time: The National Pool Tour,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
152988,73293,Breakout 3000,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
64744,14348,Brides of Dracula,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6935,94682,Bridge Master,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13972,14458,Brix,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
47871,148451,Brix II Deluxe,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19794,41980,Browning,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9284,11981,Bubble Dizzy,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
138930,195031,Bubble World,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120452,14499,Buck Rogers: Matrix Cubed,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
188459,18808,Bucky O'Hare,NULL,1992-01-31 00:00:00.000,2,NULL,NULL,NULL,88.6564,16
124388,14351,Bug Bomber,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11992,41170,Bugbomber,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
176749,42638,Bulls Vs Blazers and the NBA Playoffs,NULL,1992-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
93048,10855,Bunny Bricks,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
146280,16293,Burai: Hachigyoku no Yuushi Densetsu,NULL,1992-09-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
87373,48723,Business Wars,NULL,1992-01-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
110935,46324,Buster Ball,NULL,1992-03-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
